product_id,product_name,default_category_name,associated_category_names,image,product_url,short_description,description,description_html,search_keywords
1,Window Perf,Roll Stock,,https://dei4q67dwezeh.cloudfront.net/ctmediaon/images/product/Window-Perf_Lamination_1.jpg,https://visualgraphx.com/roll/roll-stock/perforated-window-films-for-printing/,"Custom perforated window film printing from Visual Graphx for storefronts, vehicles, and branded privacy graphics.","Custom perforated window film printing from Visual Graphx for storefronts, vehicles, and branded privacy graphics.","<p>Custom perforated window film printing from Visual Graphx for storefronts, vehicles, and branded privacy graphics.</p>","Window Perf, Roll Stock, window decal, window graphic, perforated window, one-way vision"
2,"H-Stakes 10"" x 30""",Hardware,,https://dei4q67dwezeh.cloudfront.net/ctmediaon/images/product/H-Stakes-10-x-30_1_02450623202509.jpg,https://visualgraphx.com/hardware-frames/hardware/hstakes-10x30/,Order H-stakes 10 x 30 hardware from Visual Graphx for coroplast yard signs and display installations.,Order H-stakes 10 x 30 hardware from Visual Graphx for coroplast yard signs and display installations.,<p>Order H-stakes 10 x 30 hardware from Visual Graphx for coroplast yard signs and display installations.</p>,"H-Stakes 10"" x 30"", Hardware, h-stakes, wire frame, yard sign stake"
3,Decals - General Performance,Roll Stock,,https://dei4q67dwezeh.cloudfront.net/ctmediaon/images/product/Decals-General-Performance_1_05253116202507.jpg,https://visualgraphx.com/roll/roll-stock/standard-decals-printing/,"Shop standard decals printing from Visual Graphx for everyday branding, promotions, and general-use applications.","Shop standard decals printing from Visual Graphx for everyday branding, promotions, and general-use applications.","<p>Shop standard decals printing from Visual Graphx for everyday branding, promotions, and general-use applications.</p>","Decals - General Performance, Roll Stock, decal, sticker, vinyl sticker, custom decal"
4,Decals - Clear,Roll Stock,,https://dei4q67dwezeh.cloudfront.net/ctmediaon/images/product/Decals-Clear_1_05100516202507.jpg,https://visualgraphx.com/roll/roll-stock/clear-decals-printing/,"Stand out with custom clear vinyl decals printed in Arizona. Perfect for windows, vehicles, and promos with strong adhesion and professional quality.","Stand out with custom clear vinyl decals printed in Arizona. Perfect for windows, vehicles, and promos with strong adhesion and professional quality.","<p>Stand out with custom clear vinyl decals printed in Arizona. Perfect for windows, vehicles, and promos with strong adhesion and professional quality.</p>","Decals - Clear, Roll Stock, decal, sticker, vinyl sticker, custom decal"
5,Coroplast (Vinyl Mounted),Vinyl Mounted Sheets,,https://dei4q67dwezeh.cloudfront.net/ctmediaon/images/product/Coroplast-Vinyl-Mounted_1_01502317202509.jpg,https://visualgraphx.com/rigid/vinyl-mounted-sheets/vinyl-mounted-coroplast-sign/,Vinyl-mounted coroplast sign printing from Visual Graphx for lightweight durable display and promotional signage.,"Coroplast (Corrugated/Fluted Plastic) What this means for you is a professional quality sign that is durable, economical, and easy to display or mount. Coroplast signs are one of the most popular and versatile sign materials available. The lightweight properties of coroplast panels have made it a popular alternative to more rigid sign materials. Corrugated plastic signs are also commonly preferred over poster board and foam core mounting board. Foam core is not waterproof, and the surface is much more sensitive to damage than corrugated plastic. With a Coroplast sign, you can advertise in almost any location. Coroplast signs, being lightweight, are easy to mount on virtually any surface. We also have a wide selection of frames and stakes that are perfect for Coroplast signs. With these mounting options, you will have no trouble getting your business or promotional message displayed professionally. Coroplast is a sturdy, waterproof, corrugated plastic sign material that resembles the appearance of ""plastic cardboard."" The hollow-fluted design of Coroplast makes this sign material extremely lightweight, easy to handle, and simple to display in several ways.","Coroplast (Corrugated/Fluted Plastic)
 <br><br> What this means for you is a professional quality sign that is durable, economical, and easy to display or mount. Coroplast signs are one of the most popular and versatile sign materials available.
 <br><br> The lightweight properties of coroplast panels have made it a popular alternative to more rigid sign materials. Corrugated plastic signs are also commonly preferred over poster board and foam core mounting board. Foam core is not waterproof,
 and the surface is much more sensitive to damage than corrugated plastic. With a Coroplast sign, you can advertise in almost any location. Coroplast signs, being lightweight, are easy to mount on virtually any surface.
 <br><br> We also have a wide selection of frames and stakes that are perfect for Coroplast signs. With these mounting options, you will have no trouble getting your business or promotional message displayed professionally. Coroplast is a sturdy, waterproof,
 corrugated plastic sign material that resembles the appearance of ""plastic cardboard."" The hollow-fluted design of Coroplast makes this sign material extremely lightweight, easy to handle, and simple to display in several ways.
 <br>
 <br>","Coroplast (Vinyl Mounted), Vinyl Mounted Sheets, coroplast, corrugated plastic, yard sign material, politcal sign material"
6,ACP / ACM (Vinyl Mounted),Vinyl Mounted Sheets,,https://dei4q67dwezeh.cloudfront.net/ctmediaon/images/product/ACP-ACM-Vinyl-Mounted_1_01530717202509.jpg,https://visualgraphx.com/rigid/vinyl-mounted-sheets/acp-acm-mounted-sign-print/,Vinyl-mounted ACP and ACM sign printing from Visual Graphx for rigid professional indoor and outdoor signage.,"ONE OF THE MOST DURABLE SIGN PANELS AVAILABLE!ACP (Aluminum Composite Panel, DiBond, Aluminum Composite Material, ACM, E-Panel) ACP is excellent for outdoor use but a great option for indoors, too. ACP is commonly used for decorative, real estate, property, directional, road, safety, regulation, and restroom signs. ACP sign material is a composite made of both aluminum and plastic sign material. Two factory-applied electroplated white enamel-painted sheets of aluminum are permanently bonded to both sides of a high-density plastic core, sandwiching the plastic sign panel in between. The solid plastic core adds thickness and rigidity to the sheet while allowing it to remain lightweight and incredibly durable. In fact, ACP custom signs have nearly ten times the strength of a sheet of .040"" aluminum, making it one of the strongest sign panels available, yet the material weighs only 32 pounds for an entire 4' x 8' sheet. ACP signs are an excellent choice for indoor signage. They are fairly lightweight and can be printed double-sided, so ACP is good for hanging applications as well as being easy to mount on an interior wall. When protected from exposure to harsh elements, as in an indoor application, ACP signs can last decades. ACP signs are ideal for outdoor signage. ACP is naturally a strong, weatherproof material that will hold up well against the elements. Because of Aluminum's natural rust and weather resistance, ACP signs will stand up to the elements. ACP also has a high ...","<h2>ONE OF THE MOST DURABLE SIGN PANELS AVAILABLE!</h2><p>ACP (Aluminum Composite Panel, DiBond, Aluminum Composite Material, ACM, E-Panel)</p><p>ACP is excellent for outdoor use but a great option for indoors, too. ACP is commonly used for decorative, real estate, property, directional, road, safety, regulation, and restroom signs. ACP sign material is a composite made of both aluminum
 and plastic sign material. Two factory-applied electroplated white enamel-painted sheets of aluminum are permanently bonded to both sides of a high-density plastic core, sandwiching the plastic sign panel in between. The solid plastic core
 adds thickness and rigidity to the sheet while allowing it to remain lightweight and incredibly durable. In fact, ACP custom signs have nearly ten times the strength of a sheet of .040"" aluminum, making it one of the strongest sign panels
 available, yet the material weighs only 32 pounds for an entire 4' x 8' sheet.</p><p>ACP signs are an excellent choice for indoor signage. They are fairly lightweight and can be printed double-sided, so ACP is good for hanging applications as well as being easy to mount on an interior wall. When protected from exposure to harsh
 elements, as in an indoor application, ACP signs can last decades.</p><p>ACP signs are ideal for outdoor signage. ACP is naturally a strong, weatherproof material that will hold up well against the elements. Because of Aluminum's natural rust and weather resistance, ACP signs will stand up to the elements. ACP also
 has a high tolerance for cold and hot weather temperature extremes and heavy precipitation. Additionally, the solid plastic core gives an ACP sign added rigidity and durability, so it won't easily bend or warp. Our standard ACP is one of the
 most durable on the market, boasting a thicker aluminum face than standard panels, and has a factory-applied electroplated enamel paint vs oven-baked, which means these panels will serve you for years.</p><p>Whether hanging, post/pole-mounted, placed in a sidewalk stand, or mounted to a wall, ACP signs are a stylish and durable signage choice.</p>
 <p> </p>","ACP / ACM (Vinyl Mounted), Vinyl Mounted Sheets"
7,BubbleBoard (Vinyl Mounted),Vinyl Mounted Sheets,,https://dei4q67dwezeh.cloudfront.net/ctmediaon/images/product/BubbleBoard-Vinyl-Mounted-1_05133218202509.jpg,https://visualgraphx.com/rigid/vinyl-mounted-sheets/bubble-board-vinyl-printing/,"Explore premium print product solutions from Visual Graphx in Arizona. We provide high-quality custom printing, signage, decals, banners, and graphic materials with fast turnaround and professional...","BubbleBoard BubbleBoard is a Superior Alternative to Coroplast (Fluted Plastic) signs. BubbleBoard boasts in comparison to Coroplast a 25x Stronger substrate, higher opacity, smoother surface with a matte finish. This innovative substrate makes this one of the most versatile, durable, and economical sign materials available. What this means for you is a professional quality sign that is durable, economical and easy to display or mount. The lightweight properties of BubbleBoard have made it a popular alternative to many sign materials. Being an indoor and outdoor material, BubbleBoard is a superior product to foam core offering a similarly smooth surface but offers a higher durability and weather resistance. Similar to Coroplast, BubbleBoard is a tough, waterproof, plastic sign material engineered with a sphere (""Bubble"") core adding extreme stiffness and strength. The hollow design makes this substrate extremely lightweight, easy to handle and simple to display in a number of ways. With a BubbleBoard sign, you can advertise in almost any location with incredible durability. BubbleBoard signs are easy to mount on almost any surface, you will have no trouble getting your business or promotional message displayed in a durable and professional manner.","BubbleBoard
 <br><br> BubbleBoard is a Superior Alternative to Coroplast (Fluted Plastic) signs. BubbleBoard boasts in comparison to Coroplast a 25x Stronger substrate, higher opacity, smoother surface with a matte finish. This innovative substrate makes this one
 of the most versatile, durable, and economical sign materials available.
 <br><br> What this means for you is a professional quality sign that is durable, economical and easy to display or mount.
 <br><br> The lightweight properties of BubbleBoard have made it a popular alternative to many sign materials. Being an indoor and outdoor material, BubbleBoard is a superior product to foam core offering a similarly smooth surface but offers a higher
 durability and weather resistance.
 <br><br> Similar to Coroplast, BubbleBoard is a tough, waterproof, plastic sign material engineered with a sphere (""Bubble"") core adding extreme stiffness and strength. The hollow design makes this substrate extremely lightweight, easy to handle and simple
 to display in a number of ways.
 <br><br> With a BubbleBoard sign, you can advertise in almost any location with incredible durability. BubbleBoard signs are easy to mount on almost any surface, you will have no trouble getting your business or promotional message displayed in a durable
 and professional manner.
 <br><br>","BubbleBoard (Vinyl Mounted), Vinyl Mounted Sheets"
8,PolyPanel (Vinyl Mounted),Vinyl Mounted Sheets,,https://dei4q67dwezeh.cloudfront.net/ctmediaon/images/product/PolyPanel-Vinyl-Mounted_1_03390223202509.png,https://visualgraphx.com/rigid/vinyl-mounted-sheets/polypanel-mounted/,"Explore premium print product solutions from Visual Graphx in Arizona. We provide high-quality custom printing, signage, decals, banners, and graphic materials with fast turnaround and professional...","PolyPanel We are proud to be one of the only companies offering the revolutionary PolyPanel. PolyPanel is the perfect substrate for printed signage and point-of-sale advertising materials both indoors and out. Although these specialized sheets are just 1/8"" (3mm) thick, they punch way above their weight class much like us. They are super-light and robust, highly scratch-proof, resistant to heat and chemicals, and 100% opaque. More importantly as an alternative to PVC, PolyPanel offers outdoor durability, higher flexibility before cracking, no warping in direct sunlight, and it is100% recyclable! PolyPanel sheets are designed to meet the specific needs of high impact marketing materials such as printed exhibition boards, signs, POS and POP displays. Because of their high resistance to UV light, PolyPanel sheets are ideally suited to outdoor advertising displays and are far superior to PVC sheets. When you print your marketing and advertising messages on PolyPanel, you can be sure that they will last.","PolyPanel
 <br><br> We are proud to be one of the only companies offering the revolutionary PolyPanel. PolyPanel is the perfect substrate for printed signage and point-of-sale advertising materials both indoors and out. Although these specialized sheets are just
 1/8"" (3mm) thick, they punch way above their weight class much like us. They are super-light and robust, highly scratch-proof, resistant to heat and chemicals, and 100% opaque. More importantly as an alternative to PVC, PolyPanel offers outdoor
 durability, higher flexibility before cracking, no warping in direct sunlight, and it is100% recyclable!
 <br><br> PolyPanel sheets are designed to meet the specific needs of high impact marketing materials such as printed exhibition boards, signs, POS and POP displays. Because of their high resistance to UV light, PolyPanel sheets are ideally suited to outdoor
 advertising displays and are far superior to PVC sheets. When you print your marketing and advertising messages on PolyPanel, you can be sure that they will last.
 <br><br>","PolyPanel (Vinyl Mounted), Vinyl Mounted Sheets"
9,Decals - High Tack,Roll Stock,,https://dei4q67dwezeh.cloudfront.net/ctmediaon/images/product/Decals-High-Tack_1_05303716202507.jpg,https://visualgraphx.com/roll/roll-stock/high-tack-vinyl-decal-printing/,"Shop high-tack vinyl decal printing from Visual Graphx for textured surfaces, walls, and demanding applications.","Shop high-tack vinyl decal printing from Visual Graphx for textured surfaces, walls, and demanding applications.","<p>Shop high-tack vinyl decal printing from Visual Graphx for textured surfaces, walls, and demanding applications.</p>","Decals - High Tack, Roll Stock, decal, sticker, vinyl sticker, custom decal"
10,Scrim Banner,Roll Stock,,https://dei4q67dwezeh.cloudfront.net/ctmediaon/images/product/Scrim-Banner_1_06533316202507.jpg,https://visualgraphx.com/roll/roll-stock/print-custom-scrim-banner/,"Create high-impact signage with Visual Graphx’s custom scrim banners in Arizona. Perfect for events, promotions, and outdoor advertising with durable, full-color vinyl.","Create high-impact signage with Visual Graphx’s custom scrim banners in Arizona. Perfect for events, promotions, and outdoor advertising with durable, full-color vinyl.","<p>Create high-impact signage with Visual Graphx’s custom scrim banners in Arizona. Perfect for events, promotions, and outdoor advertising with durable, full-color vinyl.</p>","Scrim Banner, Roll Stock, banner, custom banner, vinyl banner, signage, heavy-duty banner, vinyl scrim, 13oz banner"
