category_id,category_name,category_url,parent_category,description
1,Roll,https://visualgraphx.com/roll/categories/,,"Roll-format printable media: roll stock, magnetics, reflective films, self-adhesive vinyl, and banner films."
2,Rigid,https://visualgraphx.com/rigid/categories/,,"Rigid substrates and printed sheet stock: acrylic, coroplast, ACM/ACP, foamboard, PVC, polyboard, vinyl-mounted boards."
3,Industries,https://visualgraphx.com/industries/categories/,,"Industry-specific printing solutions for construction, education, events, healthcare, hospitality, real estate, retail and more."
4,Uses,https://visualgraphx.com/uses/categories/,,"Print products organized by use case: fleet graphics, trade show signage, POP displays, yard signs, marketing materials and more."
5,Decals & Stickers,https://visualgraphx.com/decals-stickers/categories/,,"Custom decals and stickers including clear, water-bottle, vehicle, wall, glass/window, short-term and general-use vinyl."
6,Wraps,https://visualgraphx.com/wraps/categories/,,"Vehicle wraps, wall wraps, floor wraps, and window wraps printed on premium 3M and Avery films."
7,Banners,https://visualgraphx.com/banners/categories/,,"Custom-printed scrim, mesh and fabric banners for indoor and outdoor advertising."
8,Services,https://visualgraphx.com/services/categories/,,Creative print design and related services from the Visual Graphx team.
9,Hardware & Frames,https://visualgraphx.com/hardware-frames/categories/,,"Hardware accessories: signicades, retractable banner stands, H-stakes, FabricMate tracks and curtain tracks."
10,By Brand,https://visualgraphx.com/by-brand/categories/,,"Browse media by brand: 3M, Avery Dennison, Arlon, Orafol/Oracal, Ultraflex, Fisher Textiles, General Formulations."
11,Featured Products,https://visualgraphx.com/featured-products-99/categories/,,Best-selling and featured products curated by Visual Graphx.
12,Roll Stock,https://visualgraphx.com/roll/roll-stock/products/,Roll,"Printable roll-format media for decals, banners and signage."
13,Magnetic,https://visualgraphx.com/roll/magnetic/products/,Roll,Custom-printed magnetic sheet for vehicles and signage.
14,Reflective,https://visualgraphx.com/roll/reflective/products/,Roll,Reflective vinyl decals for safety and visibility.
15,Self-Adhesive Vinyl (SAV),https://visualgraphx.com/roll/self-adhesive-vinyl-(sav)/products/,Roll,Self-adhesive vinyl rolls for decals and graphics.
16,Banners (Roll),https://visualgraphx.com/roll/banners-print/products/,Roll,Roll-format banner films and printed banners.
17,Rigid Stock,https://visualgraphx.com/rigid/rigid-stock/products/,Rigid,"Direct-printed rigid substrates: coroplast, acrylic, ACM/ACP, foamboard, PVC, polyboard."
18,Plastics,https://visualgraphx.com/rigid/plastics/products/,Rigid,Plastic substrate options for rigid printing.
19,Sheet Stock,https://visualgraphx.com/sheet-stock/products/,Rigid,Printed sheet stock for wall displays and signage.
20,Vinyl Mounted Sheets,https://visualgraphx.com/rigid/vinyl-mounted-sheets/products/,Rigid,"Vinyl-mounted sheet stock: coroplast, ACM/ACP, bubble board, polypanel."
21,Decals,https://visualgraphx.com/decals-stickers/decals/products/,Decals & Stickers,General-purpose printed decals.
22,Clear Decals,https://visualgraphx.com/decals-stickers/clear-decals/products/,Decals & Stickers,Transparent/clear decals for glass and surfaces.
23,General Use Stickers,https://visualgraphx.com/decals-stickers/general-use/products/,Decals & Stickers,General-use stickers for indoor and outdoor labelling.
24,Vehicle Decals,https://visualgraphx.com/decals-stickers/vehicle-decals/products/,Decals & Stickers,"Decals designed for cars, trucks, vans and fleets."
25,Wall Decals,https://visualgraphx.com/decals-stickers/wall-decals/products/,Decals & Stickers,Removable and durable wall decals.
26,Glass / Window Decals,https://visualgraphx.com/decals-stickers/glass-window-decals/products/,Decals & Stickers,Window and glass decals (low-tack and frosted options).
27,Water Bottle Decals,https://visualgraphx.com/decals-stickers/water-bottle/products/,Decals & Stickers,Decals built for water bottles and tumblers.
28,Short-Term Decals,https://visualgraphx.com/decals-stickers/short-term/products/,Decals & Stickers,Decals designed for short-term applications.
29,Vehicle Wraps,https://visualgraphx.com/wraps/vehicle/products/,Wraps,Full and partial vehicle wraps printed on 3M and Avery films.
30,Wall Wraps,https://visualgraphx.com/wraps/walls/products/,Wraps,Custom wall-wrap films for interior branding.
31,Floor Wraps,https://visualgraphx.com/wraps/floor-wraps/products/,Wraps,Heavy-duty printed floor graphics.
32,Window Wraps,https://visualgraphx.com/wraps/window/products/,Wraps,Window-wrap films including perforated and frosted.
33,Scrim Banners,https://visualgraphx.com/banners/scrim/products/,Banners,Heavy-duty scrim vinyl banners for outdoor advertising.
34,Mesh Banners,https://visualgraphx.com/banners/mesh/products/,Banners,Wind-permeable mesh banners for fences and large outdoor installs.
35,Fabric Banners,https://visualgraphx.com/banners/fabric/products/,Banners,Soft-feel fabric banners and dye-sub printed fabric.
36,Hardware,https://visualgraphx.com/hardware-frames/hardware/products/,Hardware & Frames,"Sign hardware: stakes, A-frames, banner stands and tracks."
37,Design Services,https://visualgraphx.com/services/design/products/,Services,Print-ready design and creative services from the Visual Graphx team.
38,Avery Dennison,https://visualgraphx.com/by-brand/avery-dennison/products/,By Brand,Avery Dennison branded films and substrates.
39,3M,https://visualgraphx.com/by-brand/3m/products/,By Brand,"3M branded films and substrates including IJ35c, 40c, V9500."
40,Arlon,https://visualgraphx.com/by-brand/arlon/products/,By Brand,Arlon branded vinyl films.
41,Ultraflex,https://visualgraphx.com/by-brand/ultraflex/products/,By Brand,Ultraflex banner and signage media.
42,Fisher Textiles,https://visualgraphx.com/by-brand/fisher-textiles/products/,By Brand,Fisher Textiles fabric media for dye-sublimation prints.
43,Orafol / Oracal,https://visualgraphx.com/by-brand/orafol-oracal/products/,By Brand,Orafol/Oracal cut and printable vinyl.
44,General Formulations,https://visualgraphx.com/by-brand/general-formulations/products/,By Brand,General Formulations printable vinyl and laminates.
45,Featured Products,https://visualgraphx.com/featured-products-99/featured-products/products/,Featured Products,Selection of best-selling featured products.
46,Construction & Industrial,https://visualgraphx.com/industries/construction-industrial/products/,Industries,"Job-site safety signage, durable decals, and weather-resistant graphics for construction and industrial applications."
47,Education & Schools,https://visualgraphx.com/industries/education-schools/products/,Industries,"Wayfinding, school spirit, and classroom signage solutions for K-12 and higher education."
48,Events,https://visualgraphx.com/industries/events/products/,Industries,"Banners, A-frames, retractable stands and floor decals for events, expos and pop-ups."
49,Small Business Advertising,https://visualgraphx.com/industries/small-business-advertising/products/,Industries,"Affordable banners, decals, signs and acrylic prints for small-business marketing."
50,Healthcare & Public Services,https://visualgraphx.com/industries/healthcare/products/,Industries,"Wayfinding, safety, and informational signage for clinics, hospitals and public agencies."
51,Hospitality & Food Services,https://visualgraphx.com/industries/hospitality/products/,Industries,"Branded interior graphics, menu signage and marketing prints for hospitality venues."
52,Nonprofit & Outreach,https://visualgraphx.com/industries/nonprofit-outreach/products/,Industries,"Cost-conscious banners, yard signs and event signage for nonprofits and community outreach."
53,Real Estate & Property,https://visualgraphx.com/industries/real-estate-property/products/,Industries,"Realty signs, riders, A-frames and yard signs for real-estate professionals."
54,Retail,https://visualgraphx.com/industries/retail/products/,Industries,"Window graphics, point-of-purchase displays and storefront signage for retail environments."
55,Sports & Athletics,https://visualgraphx.com/industries/sports-athletics/products/,Industries,"Stadium banners, team signage and event graphics for athletic programs."
56,Marketing Materials,https://visualgraphx.com/uses/marketing-materials/products/,Uses,"Banner stands, retractable displays and tradeshow-ready prints for marketing campaigns."
57,Promotional Print Materials,https://visualgraphx.com/uses/promotional-print-materials/products/,Uses,Promotional printed products for advertising and giveaways.
58,Wraps Print,https://visualgraphx.com/uses/wraps-print/products/,Uses,"Vehicle, wall and surface wraps printed on premium films."
59,Yard Signs,https://visualgraphx.com/uses/yard-signs/products/,Uses,"Coroplast yard signs for political, real-estate and event promotion."
60,Realty Signs,https://visualgraphx.com/uses/realty-signs/products/,Uses,"For-sale, open-house and Compass-branded realty signage."
61,A-Frame Signs,https://visualgraphx.com/uses/a-frame-signs/products/,Uses,Self-standing A-frame and Signicade sidewalk signs.
62,Safety,https://visualgraphx.com/uses/safety/products/,Uses,Floor decals and signage for safety messaging.
63,Architectural Signage,https://visualgraphx.com/uses/architectural-signage/products/,Uses,"Wayfinding, ADA, and architectural sign printing."
64,Commercial Prints,https://visualgraphx.com/uses/commercial-prints/products/,Uses,Commercial-grade print solutions for businesses.
65,Job-Site Safety Signage,https://visualgraphx.com/uses/job-site-safety-signage/products/,Uses,Heavy-duty safety signs for active job-sites.
66,Corporate Office Branding,https://visualgraphx.com/uses/corporate-office-branding/products/,Uses,"Office wall graphics, lobby branding and interior signage."
67,Custom Graphics,https://visualgraphx.com/uses/custom-graphics/products/,Uses,Specialty custom-printed graphics for unique applications.
68,Fleet Graphics,https://visualgraphx.com/uses/fleet-graphics/products/,Uses,"Vehicle and fleet wraps, decals and magnets."
69,Signs & Graphics,https://visualgraphx.com/uses/signs-graphics/products/,Uses,Indoor and outdoor signs and graphic displays.
70,Outdoor Advertising,https://visualgraphx.com/uses/outdoor-advertising/products/,Uses,Large-format outdoor advertising prints.
71,POP Displays,https://visualgraphx.com/uses/pop-displays/products/,Uses,Point-of-purchase displays and retail signage.
72,Political Printing,https://visualgraphx.com/uses/political-printing/products/,Uses,"Yard signs, banners and signage for political campaigns."
73,School Spirit Prints,https://visualgraphx.com/uses/school-spirit-prints/products/,Uses,Custom prints celebrating school spirit and athletics.
74,Temporary Signage,https://visualgraphx.com/uses/temporary-signage/products/,Uses,Short-term and event signage solutions.
75,Trade Show Signage,https://visualgraphx.com/uses/trade-show-signage/products/,Uses,"Booth banners, table covers and tradeshow displays."
