faq_id,question,answer,answer_html,category,faq_type,product_ids,category_ids
1,How long does it take to get approval once I register?,"Normal turnaround time is within one business day or sooner. If you haven't received a confirmation email, please check your spam folder or contact us at admin@2ctmedia.com","<p>Normal turnaround time is within one business day or sooner. If you haven't received a confirmation email, please check your spam folder or contact us at <a href=""mailto:admin@2ctmedia.com"">admin@2ctmedia.com</a></p>",Preliminaries,general,,
2,Will you sell directly to my customer?,We sell wholesale ONLY. We will never sell direct to your customer. Our commitment is to help you grow your business and offer YOU the lowest cost and deliver the highest quality products.,<p>We sell wholesale ONLY. We will never sell direct to your customer. Our commitment is to help you grow your business and offer YOU the lowest cost and deliver the highest quality products. </p>,Preliminaries,general,,
3,Can I see pricing before account approval?,"In order to access our online pricing, you must first receive account approval. We do not sell directly to the public. You must be a trade member (sign shop, print shop, etc). You can become a registered reseller by clicking (Get Started) on the home page.","<p>In order to access our online pricing, you must first receive account approval. We do not sell directly to the public. You must be a trade member (sign shop, print shop, etc). You can become a registered reseller by clicking (Get Started) on the home page.</p>",Preliminaries,general,,
4,What options are availalbe for product design?,"There are three options for designing and customizing a product. Click a product on the left-hand panel and choose one of the options. 1. Custom Design: lets you customize the products. Click it to open the design studio and use multiple tools to create your own design. 2. Upload Design: using this option, you can upload your own JPG, JPEG, GIF, PNG, EPS, AI, PDF and PSD images. 3. Browse Design: use this to select hundreds of pre-loaded templates. Work on them or customize them through our design studio.","<p>
	There are three options for designing and customizing a product. Click a product on the left-hand panel and choose one of the options.</p><p>
	1. Custom Design: lets you customize the products. Click it to open the design studio and use multiple tools to create your own design.</p><p>
	2. Upload Design: using this option, you can upload your own JPG, JPEG, GIF, PNG, EPS, AI, PDF and PSD images.</p><p>
	3. Browse Design: use this to select hundreds of pre-loaded templates. Work on them or customize them through our design studio.</p>",Products,general,,
5,What equipment do you use?,"We employ the latest technology for our industry. We are constantly investing in leading-edge technologies providing some of the highest image qualities with maximum efficiency in mind. We have UV-LED, and GelUV ink technologies printing from some of the industries' top printing equipment. Our printers can print up to 1200 x 1200 dpi, and offer special features like Matte Ink, White, and Even Gloss Inks. We have some of the most advanced technology available. We have deployed a Multicam Celero 7 CNC finishing table. Our technology allows for the most accurate finishing at the highest speeds, providing you with a top-quality product rapidly. We are constantly seeking advancements in our equipment portfolio and are testing and reviewing equipment at all times. Our goal is to provide you with the best-curated options in the industry using the best machines available.","<p>We employ the latest technology for our industry. We are constantly investing in leading-edge technologies providing some of the highest image qualities with maximum efficiency in mind.</p><p>We have UV-LED, and GelUV ink technologies printing from some of the industries' top printing equipment. Our printers can print up to 1200 x 1200 dpi, and offer special features like Matte Ink, White, and Even Gloss Inks. We have some of the most advanced technology available.</p><p>We have deployed a Multicam Celero 7 CNC finishing table. Our technology allows for the most accurate finishing at the highest speeds, providing you with a top-quality product rapidly.</p><p>We are constantly seeking advancements in our equipment portfolio and are testing and reviewing equipment at all times. Our goal is to provide you with the best-curated options in the industry using the best machines available.</p>",Printing,general,,
6,Do you offer white ink or other specialty printing?,"We do! For certain processes, we do offer white ink, clear ink, and we even have a matte ink process.","<p>We do! For certain processes, we do offer white ink, clear ink, and we even have a matte ink process.</p>",Printing,general,,
7,What printing method do you use?,"We use offset printing, which provides the highest quality of print material for both text and images.","<p>
	We use offset printing, which provides the highest quality of print material for both text and images.</p>",Printing,general,,
8,Where is Visual Graphx located?,"Visual Graphx is based at 7931 E Pecos Rd, Building 4 - Suite 162, Mesa, AZ 85212, United States. Production is done locally in Arizona and shipped nationwide.","<p>Visual Graphx is based at 7931 E Pecos Rd, Building 4 - Suite 162, Mesa, AZ 85212, United States. Production is done locally in Arizona and shipped nationwide.</p>",General,general,,
9,How can I contact Visual Graphx?,You can reach Visual Graphx by phone at (414) 687-5892 or by email at hello@visualgraphx.com. The team also offers a contact form and a quote request form on the website.,<p>You can reach Visual Graphx by phone at (414) 687-5892 or by email at hello@visualgraphx.com. The team also offers a contact form and a quote request form on the website.</p>,General,general,,
10,"Does Visual Graphx sell to the public, or only to trade members?",Visual Graphx sells wholesale ONLY. Customers must be a trade member such as a sign shop or print shop. Visual Graphx does not sell directly to your end customer.,<p>Visual Graphx sells wholesale ONLY. Customers must be a trade member such as a sign shop or print shop. Visual Graphx does not sell directly to your end customer.</p>,Account,general,,
11,How do I become a registered reseller?,"Click ""Get Started"" on the home page to register. Your account will normally be approved within one business day. Once approved you will see online pricing and can place orders.","<p>Click ""Get Started"" on the home page to register. Your account will normally be approved within one business day. Once approved you will see online pricing and can place orders.</p>",Account,general,,
12,Can I cancel or change my order after it has been placed?,"Once your order has been processed and moved to production, changes or cancellations cannot be guaranteed. Contact support immediately and they will try to halt the order. Cancelled orders may be charged for materials and labor already incurred. There is no cancellation or refund on items already in the production queue or completed.","<p>Once your order has been processed and moved to production, changes or cancellations cannot be guaranteed. Contact support immediately and they will try to halt the order. Cancelled orders may be charged for materials and labor already incurred. There is no cancellation or refund on items already in the production queue or completed.</p>",Returns,general,,
13,What is the return / refund policy if there is an issue with my order?,"Visual Graphx aims for 100% customer satisfaction. If you are unhappy with your order or there is a defect, you must report it within five business days of delivery with a description and pictures. For errors caused by Visual Graphx (defective print, wrong material, etc.) replacement products are sent with priority shipping at no charge, or a refund may be offered at their discretion. For customer-side errors after proof approval (typos, low-resolution images, color mismatch on un-color-matched files) Visual Graphx will work with you to fix the situation, but cost recovery may apply.","<p>Visual Graphx aims for 100% customer satisfaction. If you are unhappy with your order or there is a defect, you must report it within five business days of delivery with a description and pictures. For errors caused by Visual Graphx (defective print, wrong material, etc.) replacement products are sent with priority shipping at no charge, or a refund may be offered at their discretion. For customer-side errors after proof approval (typos, low-resolution images, color mismatch on un-color-matched files) Visual Graphx will work with you to fix the situation, but cost recovery may apply.</p>",Returns,general,,
14,What kind of printing technology does Visual Graphx use?,"Visual Graphx uses UV-LED and GelUV ink technologies on industry-leading equipment, with print resolution up to 1200 x 1200 dpi and special inks like Matte, White and Even Gloss. Finishing is done on a Multicam Celero 7 CNC table for high-precision contour cutting, kiss-cutting and through-cutting.","<p>Visual Graphx uses UV-LED and GelUV ink technologies on industry-leading equipment, with print resolution up to 1200 x 1200 dpi and special inks like Matte, White and Even Gloss. Finishing is done on a Multicam Celero 7 CNC table for high-precision contour cutting, kiss-cutting and through-cutting.</p>",Printing,general,,
15,"Do you offer white ink, clear ink, or matte finishes?","Yes. For certain processes Visual Graphx offers white ink, clear ink and a matte ink process in addition to standard CMYK output.","<p>Yes. For certain processes Visual Graphx offers white ink, clear ink and a matte ink process in addition to standard CMYK output.</p>",Printing,general,,
